Date,Adj Close,Close,High,Low
19/01/2023,93.680,93.680,95.440,92.860
20/01/2023,97.250,97.250,97.350,93.200
23/01/2023,97.520,97.520,97.780,95.860
24/01/2023,96.320,96.320,98.090,96.000
25/01/2023,97.180,97.180,97.240,91.520
26/01/2023,99.220,99.220,99.490,96.920
27/01/2023,102.240,102.240,103.490,99.530
30/01/2023,100.550,100.550,101.740,99.010
31/01/2023,103.130,103.130,103.350,101.140
01/02/2023,105.150,105.150,106.240,101.240
02/02/2023,112.910,112.910,114.000,108.880
03/02/2023,103.390,103.390,108.780,102.520
06/02/2023,102.180,102.180,103.950,100.650
07/02/2023,102.110,102.110,102.410,98.080
08/02/2023,100.050,100.050,102.670,98.780
09/02/2023,98.240,98.240,101.780,97.570
10/02/2023,97.610,97.610,98.820,96.230
13/02/2023,99.540,99.540,99.680,96.910
14/02/2023,99.700,99.700,100.920,97.520
15/02/2023,101.160,101.160,101.170,98.450
16/02/2023,98.150,98.150,100.630,98.100
17/02/2023,97.200,97.200,97.940,95.650
21/02/2023,94.580,94.580,95.610,94.270
22/02/2023,95.790,95.790,97.010,94.800
23/02/2023,95.820,95.820,96.430,93.670
24/02/2023,93.500,93.500,94.140,92.320
27/02/2023,93.760,93.760,94.780,93.140
28/02/2023,94.230,94.230,94.690,92.920
01/03/2023,92.170,92.170,94.680,91.590
02/03/2023,92.130,92.130,92.230,90.390
03/03/2023,94.900,94.900,94.940,92.660
06/03/2023,93.750,93.750,96.550,93.740
07/03/2023,93.550,93.550,95.090,92.780
08/03/2023,93.920,93.920,94.170,92.180
09/03/2023,92.250,92.250,96.210,92.180
10/03/2023,90.730,90.730,93.570,90.250
13/03/2023,92.430,92.430,94.020,88.120
14/03/2023,94.880,94.880,95.070,92.710
15/03/2023,96.200,96.200,96.670,93.070
16/03/2023,100.040,100.040,100.990,95.610
17/03/2023,98.950,98.950,100.660,97.460
20/03/2023,97.710,97.710,98.480,95.700
21/03/2023,100.610,100.610,100.850,98.000
22/03/2023,98.700,98.700,102.100,98.610
23/03/2023,98.710,98.710,101.060,97.620
24/03/2023,98.130,98.130,98.300,96.400
27/03/2023,98.040,98.040,99.340,97.080
28/03/2023,97.240,97.240,98.440,96.290
29/03/2023,100.250,100.250,100.420,98.560
30/03/2023,102.000,102.000,103.040,101.010
31/03/2023,103.290,103.290,103.490,101.950
03/04/2023,102.410,102.410,103.290,101.430
04/04/2023,103.950,103.950,104.200,102.110
05/04/2023,101.100,101.100,103.910,100.750
06/04/2023,102.060,102.060,102.380,99.800
10/04/2023,102.170,102.170,102.200,99.570
11/04/2023,99.920,99.920,101.000,99.010
12/04/2023,97.830,97.830,100.510,97.710
13/04/2023,102.400,102.400,102.570,98.710
14/04/2023,102.510,102.510,103.200,101.110
17/04/2023,102.740,102.740,103.730,101.590
18/04/2023,102.300,102.300,104.200,101.520
19/04/2023,104.300,104.300,105.120,101.390
20/04/2023,103.810,103.810,105.250,103.210
21/04/2023,106.960,106.960,108.150,105.080
24/04/2023,106.210,106.210,109.230,105.070
25/04/2023,102.570,102.570,105.450,102.450
26/04/2023,104.980,104.980,106.620,104.100
27/04/2023,109.820,109.820,110.860,106.800
28/04/2023,105.450,105.450,109.480,104.330
01/05/2023,102.050,102.050,105.230,101.820
02/05/2023,103.630,103.630,103.900,101.150
03/05/2023,103.650,103.650,105.960,103.280
04/05/2023,104.000,104.000,105.390,103.310
05/05/2023,105.660,105.660,105.760,103.550
08/05/2023,105.830,105.830,106.100,104.700
09/05/2023,106.620,106.620,106.790,105.160
10/05/2023,110.190,110.190,110.670,108.050
11/05/2023,112.180,112.180,113.280,110.490
12/05/2023,110.260,110.260,112.640,109.320
15/05/2023,111.200,111.200,112.290,109.250
16/05/2023,113.400,113.400,114.790,111.050
17/05/2023,115.500,115.500,115.830,114.220
18/05/2023,118.150,118.150,118.600,116.340
19/05/2023,116.250,116.250,118.310,115.700
22/05/2023,115.010,115.010,116.770,114.250
23/05/2023,114.990,114.990,117.140,113.780
24/05/2023,116.750,116.750,117.340,115.020
25/05/2023,115.000,115.000,116.870,114.310
26/05/2023,120.110,120.110,121.500,116.020
30/05/2023,121.660,121.660,122.920,119.860
31/05/2023,120.580,120.580,122.040,119.170
01/06/2023,122.770,122.770,123.490,119.930
02/06/2023,124.250,124.250,126.390,124.020
05/06/2023,125.300,125.300,125.800,123.030
06/06/2023,126.610,126.610,127.400,125.000
07/06/2023,121.230,121.230,127.370,120.630
08/06/2023,124.250,124.250,125.630,122.260
09/06/2023,123.430,123.430,125.800,123.190
12/06/2023,126.570,126.570,126.780,123.530
13/06/2023,126.660,126.660,128.410,125.180
14/06/2023,126.420,126.420,126.950,124.120
15/06/2023,127.110,127.110,127.690,124.320
16/06/2023,125.490,125.490,127.900,125.300
20/06/2023,125.780,125.780,127.250,124.500
21/06/2023,124.830,124.830,126.730,123.850
22/06/2023,130.150,130.150,130.330,125.140
23/06/2023,129.330,129.330,130.840,128.280
26/06/2023,127.330,127.330,131.490,127.100
27/06/2023,129.180,129.180,130.090,127.550
28/06/2023,129.040,129.040,131.480,128.440
29/06/2023,127.900,127.900,129.260,127.260
30/06/2023,130.360,130.360,131.250,128.950
03/07/2023,130.220,130.220,131.850,130.070
05/07/2023,130.380,130.380,131.400,129.640
06/07/2023,128.360,128.360,128.730,127.370
07/07/2023,129.780,129.780,130.970,128.130
